,Book_Name,Publishing_Year,Author,gross_sales,publisher_revenue,sale_price,Publisher_,units_sold,Master_Genre,Master_Sub_Genre,Trope_1,Trope_2,Trope_3,Trope_4,Trope_5,Trope_6,Trope_7,Trope_8
0,THE LITTLE HOUSE COLLECTION,1953.0,LAURA INGALLS WILDER  GARTH WILLIAMS,5195.91,3117.546,11.47,RANDOM HOUSE LLC,453,FICTION,CHILDRENS,YOUNG ADULT,CLASSICS,HISTORICAL,MIDDLE GRADE,JUVENILE,LITERATURE,KIDS,
1,THE VELVETEEN RABBIT,1922.0,MARGERY WILLIAMS BIANCO  WILLIAM   NICHOLSON,21797.82,13078.692,6.54,RANDOM HOUSE LLC,3333,FICTION,CHILDRENS,FANTASY,CLASSICS,PICTURE BOOKS,ANIMALS,YOUNG ADULT,JUVENILE,SHORT STORIES,MIDDLE GRADE
2,LOVE YOU FOREVER,1986.0,ROBERT MUNSCH  SHEILA MCGRAW,1309.77,785.862,0.99,AMAZON DIGITAL SERVICES   INC ,1323,FICTION,CHILDRENS,CLASSICS,PICTURE BOOKS,FAMILY,LOVE,KIDS,REALISTIC,CANADA,JUVENILE
3,JONATHAN LIVINGSTON SEAGULL,1970.0,RICHARD BACH  RUSSELL MUNSON,6751.47,0.0,4.99,AMAZON DIGITAL SERVICES   INC ,1353,FICTION,SELFHELP,FANTASY,CLASSICS,PHILOSOPHY,SPIRITUALITY,INSPIRATIONAL,LITERATURE,NOVELS,ANIMALS
4,THE COMPLETE SHERLOCK HOLMES,1894.0,ARTHUR CONAN DOYLE,3180.02,1908.012,7.99,PENGUIN GROUP  USA  LLC,398,FICTION,MYSTERY,HISTORICAL,CLASSICS,CRIME,SHORT STORIES,DETECTIVE,LITERATURE,MYSTERY THRILLER,AUDIOBOOK
5,THE GIFT OF THE MAGI,1905.0,O  HENRY  LISBETH ZWERGER,951.23,570.738,8.89,SIMON AND SCHUSTER DIGITAL SALES INC,107,FICTION,ROMANCE,YOUNG ADULT,CLASSICS,SHORT STORIES,CHRISTMAS,LITERATURE,HOLIDAY,SCHOOL,PICTURE BOOKS
6,INVISIBLE MAN,1952.0,RALPH ELLISON,455.4,0.0,0.99,AMAZON DIGITAL SERVICES   INC ,460,FICTION,LITERARY FICTION,NOVELS,CLASSICS,LITERATURE,RACE,AFRICANAMERICAN,HISTORICAL,SCHOOL,AMERICAN
7,TUCK EVERLASTING,1975.0,NATALIE BABBITT,3582.0,2149.2,1.99,AMAZON DIGITAL SERVICES   INC ,1800,FICTION,ROMANCE,FANTASY,CLASSICS,YOUNG ADULT,CHILDRENS,MIDDLE GRADE,SCHOOL,HISTORICAL,READ FOR SCHOOL
8,THE MISTS OF AVALON,1982.0,MARION ZIMMER BRADLEY,1157.31,694.386,0.99,AMAZON DIGITAL SERVICES   INC ,1169,FICTION,ROMANCE,FANTASY,HISTORICAL,ARTHURIAN,MYTHOLOGY,CLASSICS,SCIENCE FICTION,MAGIC,
9,THE TALE OF PETER RABBIT,1901.0,BEATRIX POTTER,9890.85,5934.51,6.99,PENGUIN GROUP  USA  LLC,1415,FICTION,CHILDRENS,FANTASY,CLASSICS,PICTURE BOOKS,ANIMALS,JUVENILE,SHORT STORIES,YOUNG ADULT,KIDS
10,THE PHANTOM TOLLBOOTH,1961.0,NORTON JUSTER  JULES FEIFFER,4509.34,0.0,1.99,AMAZON DIGITAL SERVICES   INC ,2266,FICTION,CHILDRENS,FANTASY,CLASSICS,YOUNG ADULT,MIDDLE GRADE,ADVENTURE,HUMOR,JUVENILE,SCHOOL
